task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5057	32/e58fcd	6404003	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:12.482	1m 38s	1s	95.4%	58.3 MB	114.5 MB	299 MB	4 MB
5060	0f/13870e	6404004	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:13.484	1m 37s	1s	97.5%	3.2 MB	5.5 MB	297.1 MB	2 MB
5063	85/6e3ece	6404007	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:16.484	1m 34s	3s	94.8%	56.4 MB	152.1 MB	305.3 MB	7.9 MB
5064	d3/12b08a	6404006	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:15.485	1m 35s	6s	95.9%	129.7 MB	240.6 MB	321.5 MB	19.3 MB
5065	78/e0ddae	6404008	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:17.484	1m 33s	28s	97.7%	136.9 MB	245.8 MB	484.2 MB	146 MB
5067	b4/5e06c5	6404012	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:21.484	2m 29s	6s	98.1%	127.4 MB	238.4 MB	325.1 MB	22.8 MB
5061	67/8e451f	6404009	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:18.484	2m 32s	2s	95.5%	48.5 MB	141 MB	302 MB	5.3 MB
5066	5b/c2fb51	6404010	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:19.484	2m 31s	13s	97.8%	135 MB	243.3 MB	374.1 MB	60.3 MB
5069	89/e0f822	6404011	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:20.483	2m 30s	6s	97.0%	134.2 MB	244 MB	353 MB	50.3 MB
5071	8c/651a59	6404013	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:22.483	2m 28s	10s	98.3%	132.4 MB	242.3 MB	354.4 MB	44.6 MB
5068	bf/7171bc	6404014	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:23.484	2m 27s	8s	98.1%	134.6 MB	237.3 MB	334.4 MB	27.6 MB
5072	7e/320c6f	6404015	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:24.483	2m 26s	2s	97.4%	3.2 MB	5.5 MB	300.6 MB	4.2 MB
5075	b4/072e7b	6404018	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:27.483	2m 23s	6s	98.1%	122.5 MB	233.3 MB	355.8 MB	53.6 MB
5070	01/0f7f47	6404016	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:25.483	2m 25s	2s	91.5%	27.1 MB	111 MB	292.4 MB	1.5 MB
5074	0b/1bfb1f	6404017	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:26.484	2m 24s	4s	97.3%	123.1 MB	233.4 MB	335 MB	35.8 MB
5079	86/e50e73	6404022	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:31.484	2m 19s	1s	96.4%	111.5 MB	178.2 MB	302.5 MB	6.1 MB
5077	31/b25760	6404020	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:29.483	2m 21s	1s	96.0%	3.2 MB	5.5 MB	293.5 MB	2.2 MB
5083	c1/927eba	6404026	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:35.485	2m 15s	3s	97.4%	3.2 MB	5.5 MB	309.8 MB	11.8 MB
5076	4e/3022ac	6404019	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:28.484	2m 22s	9s	98.2%	137.3 MB	247.1 MB	391.1 MB	83.5 MB
5081	3c/0238d4	6404024	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:33.484	2m 17s	1s	95.9%	3.1 MB	5.5 MB	294.5 MB	2.5 MB
5080	80/d242c3	6404023	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:32.483	2m 18s	2s	97.4%	116.3 MB	183.2 MB	310 MB	13 MB
5073	93/50db61	6404021	snp_calling:snpCalling (SNP calling with bcftools mpileup + call)	COMPLETED	0	2026-03-27 06:27:30.483	2m 20s	21s	98.3%	136.7 MB	244.3 MB	435.8 MB	106.2 MB
